name,type,producer,brand,potency,thc_min,thc_max,cbd_min,cbd_max,price,price_per_gram,grams
Hindu Kush,Indica Dominant,Canopy Growth,Tweed,5,18.0,24.0,0.0,0.5,50.10,7.16,7
Afghan Kush,Indica Dominant,Canopy Growth,Tweed,5,19.0,25.0,0.0,0.5,8.10,8.10,1
Afghan Kush,Indica Dominant,Canopy Growth,Tweed,5,19.0,25.0,0.0,0.5,26.95,7.70,3.5
Afghan Kush,Indica Dominant,Canopy Growth,Tweed,5,19.0,25.0,0.0,0.5,50.10,7.16,7
The Edge,Sativa Dominant,Muskoka Grown Limited,Muskoka Grown,4,13.0,19.0,0.0,0.0,25.95,7.41,3.5
Cold Creek Kush,Indica Dominant,AgMedica Bioscience,Vertical,5,20.0,26.0,0.0,1.0,52.00,7.43,7
Charlees,Indica Dominant,Redecan,Redecan,5,14.0,20.0,0.0,1.0,7.50,7.50,1
Charlees,Indica Dominant,Redecan,Redecan,5,14.0,20.0,0.0,1.0,23.65,6.76,3.5
Charlees,Indica Dominant,Redecan,Redecan,5,14.0,20.0,0.0,1.0,43.75,6.25,7
Charlees,Indica Dominant,Redecan,Redecan,5,14.0,20.0,0.0,1.0,84.95,5.66,15
Super Lemon Haze,Sativa Dominant,Aphria,Solei,5,18.0,24.0,0.0,2.0,26.50,7.57,3.5
Chocolate Cheesecake,Hybrid,Aphria,Solei,5,19.0,25.0,0.0,2.0,26.50,7.57,3.5
Purps,Hybrid,High Park,Canaca,5,20.0,26.0,0.0,1.0,26.50,7.57,3.5
Mango,Indica Dominant,High Park,CANACA,5,20.0,26.0,0.0,1.0,26.50,7.57,3.5
Mango,Indica Dominant,High Park,CANACA,5,20.0,26.0,0.0,1.0,49.30,7.04,7
Blue Nova,Sativa Dominant,Sundial Growers,Sundial,5,20.0,26.0,0.0,1.0,26.50,7.57,3.5
Wappa,Indica Dominant,Zenabis,Namaste,5,14.0,20.0,0.0,1.0,7.95,7.95,1
Wappa,Indica Dominant,Zenabis,Namaste,5,14.0,20.0,0.0,1.0,26.50,7.57,3.5
Alien Dawg,Indica Dominant,High Park,CANACA,5,19.0,25.0,0.0,1.0,26.50,7.57,3.5
Balance,Hybrid,Aphria,Solei,2,4.0,11.0,8.5,15.5,8.50,8.50,1
Balance,Hybrid,Aphria,Solei,2,4.0,11.0,8.5,15.5,26.50,7.57,3.5
Balance,Hybrid,Aphria,Solei,2,4.0,11.0,8.5,15.5,24.98,3.57,7
Blueberry,Hybrid,Peace Naturals Project,Spinach,5,18.0,24.0,0.0,1.99,28.95,8.27,3.5
Blueberry,Hybrid,Peace Naturals Project,Spinach,5,18.0,24.0,0.0,1.99,53.85,7.69,7
Rockstar Kush,Indica Dominant,Peace Naturals Project,Spinach,5,18.0,24.0,0.0,1.0,28.95,8.27,3.5
Rockstar Kush,Indica Dominant,Peace Naturals Project,Spinach,5,18.0,24.0,0.0,1.0,53.85,7.69,7
Diesel,Hybrid,Peace Naturals Project,Spinach,5,18.0,24.0,0.0,1.0,28.95,8.27,3.5
Diesel,Hybrid,Peace Naturals Project,Spinach,5,18.0,24.0,0.0,1.0,53.85,7.69,7
Sensi Star,Indica Dominant,Peace Naturals Project,Spinach,5,18.0,24.0,0.0,1.0,28.95,8.27,3.5
Sensi Star,Indica Dominant,Peace Naturals Project,Spinach,5,18.0,24.0,0.0,1.0,53.85,7.69,7
UK Cheese,Hybrid,Canopy Growth,Tweed,5,20.0,26.0,0.0,0.5,8.10,8.10,1
UK Cheese,Hybrid,Canopy Growth,Tweed,5,20.0,26.0,0.0,0.5,26.95,7.70,3.5
Jelly Breath,Indica Dominant,Organigram,Indi Cannabis,5,17.0,23.0,0.0,0.15,26.95,7.70,3.5
M’mosa,Sativa Dominant,Organigram,Edison Cannabis Co,5,17.0,23.0,0.0,0.15,26.95,7.70,3.5
Purple Aya,Sativa Dominant,SESS Holdings,SELESTE,5,18.0,26.0,0.0,1.1,26.95,7.70,3.5
King Tut,Hybrid,SESS Holdings,SELESTE,5,18.0,24.0,0.0,1.1,26.95,7.70,3.5
Go Elevate Kali Mist,Sativa Dominant,Canada's Island Garden,FIGR,5,20.0,26.0,0.0,0.2,26.95,7.70,3.5
Go Play Mandarin Cookies,Sativa Dominant,Canada's Island Garden,FIGR,5,19.0,25.0,0.0,1.0,26.95,7.70,3.5
Go Steady Black Cherry Punch,Indica Dominant,Canada's Island Garden,FIGR,5,20.0,26.0,0.0,0.2,26.95,7.70,3.5
Slurricane,Indica Dominant,Organigram,Edison Cannabis Co,5,17.0,23.0,0.0,0.15,26.95,7.70,3.5
Ghost Train Haze UP20,Sativa Dominant,Hexo Operations,UP,5,20.0,26.0,0.0,1.0,26.95,7.70,3.5
Northern Berry UP20,Indica Dominant,Hexo Operations,UP,5,20.0,26.0,0.0,1.0,26.95,7.70,3.5
Cold Creek Kush UP20,Indica Dominant,Hexo Operations,UP,5,20.0,27.0,0.0,1.0,26.95,7.70,3.5
Green Cush,Sativa Dominant,Canopy Growth,Tweed,5,17.0,23.0,0.0,0.5,8.10,8.10,1
Green Cush,Sativa Dominant,Canopy Growth,Tweed,5,17.0,23.0,0.0,0.5,26.95,7.70,3.5
Green Cush,Sativa Dominant,Canopy Growth,Tweed,5,17.0,23.0,0.0,0.5,50.10,7.16,7
Green Cush,Sativa Dominant,Canopy Growth,Tweed,5,17.0,23.0,0.0,0.5,97.00,6.47,15
Skunk Haze,Hybrid,Canopy Growth,Tweed,3,6.0,12.0,5.0,11.0,8.10,8.10,1
Skunk Haze,Hybrid,Canopy Growth,Tweed,3,6.0,12.0,5.0,11.0,26.95,7.70,3.5
White Shark,Sativa Dominant,WeedMD,Color Cannabis,4,15.0,19.0,0.0,2.0,27.50,7.86,3.5
Blueberry Seagal,Indica Dominant,WeedMD,Color Cannabis,5,14.0,20.0,0.0,1.0,27.50,7.86,3.5
Limelight,Sativa Dominant,Organigram,Edison Cannabis Co,5,20.0,26.0,0.0,1.0,10.50,10.50,1
Limelight,Sativa Dominant,Organigram,Edison Cannabis Co,5,20.0,26.0,0.0,1.0,34.95,9.99,3.5
Limelight,Sativa Dominant,Organigram,Edison Cannabis Co,5,20.0,26.0,0.0,1.0,65.00,9.29,7
Limelight,Sativa Dominant,Organigram,Edison Cannabis Co,5,20.0,26.0,0.0,1.0,111.95,8.00,14
Black Cherry Punch,Indica Dominant,Organigram,Edison Cannabis Co,5,20.0,26.0,0.0,0.15,10.50,10.50,1
Black Cherry Punch,Indica Dominant,Organigram,Edison Cannabis Co,5,20.0,26.0,0.0,0.15,34.95,9.99,3.5
Black Cherry Punch,Indica Dominant,Organigram,Edison Cannabis Co,5,20.0,26.0,0.0,0.15,111.95,8.00,14
C-LAND,Sativa Dominant,Canopy Growth,Tweed,5,17.0,23.0,0.0,0.5,8.10,8.10,1
C-LAND,Sativa Dominant,Canopy Growth,Tweed,5,17.0,23.0,0.0,0.5,26.95,7.70,3.5
Sage N Sour,Sativa Dominant,The Green Organic Dutchman,MTL Cannabis,5,21.0,27.0,0.0,1.0,35.45,10.13,3.5
Sage N Sour,Sativa Dominant,The Green Organic Dutchman,MTL Cannabis,5,21.0,27.0,0.0,1.0,114.95,8.21,14
Blue Dream,Sativa Dominant,Aurora Cannabis,Aurora,5,19.0,24.0,0.0,1.0,9.00,9.00,1
Blue Dream,Sativa Dominant,Aurora Cannabis,Aurora,5,19.0,24.0,0.0,1.0,28.95,8.27,3.5
Buns N Roses,Indica Dominant,BZAM Cannabis,SuperFlower,5,22.0,28.0,0.0,1.0,28.95,8.27,3.5
Pink Krush,Indica Dominant,Pure Sunfarms,Favours,5,21.0,25.0,0.0,1.0,28.95,8.27,3.5
